index,Time,Open,High,Low,Close,Daily,Range,ADR,ADR_min,Fractal,Swing_Price,Swing_Type,Hour,Swing_Difference,Time_Difference,Retracement,pip_move,end_index,Swing_Length,Next_Swing,Largest_bar
139040,2020-11-10 14:00:00,1.17802,1.179,1.17796,1.179,2020-11-10 00:00:00,0.00104,0.002375,0.00475,D,1.17796,E,14,-0.00638,0,2.170068027,0.00638,139044,10,S,0.00317
139044,2020-11-10 15:00:00,1.18008,1.182,1.17955,1.18156,2020-11-10 00:00:00,0.00245,0.002375,0.00475,U,1.182,S,15,0.00404,0,0.63322884,0.00404,139050,4,F,0.00221
139050,2020-11-10 16:30:00,1.18056,1.1809,1.1793,1.1801,2020-11-10 00:00:00,0.0016,0.002375,0.00475,D,1.1793,F,16,-0.0027,0,0.668316832,0.0027,139053,6,T,0.00243
139053,2020-11-10 17:15:00,1.18111,1.18269,1.18022,1.18248,2020-11-10 00:00:00,0.00247,0.002375,0.00475,U,1.18269,T,17,0.00339,0,1.255555556,0.00339,139055,3,S,0.00218
139055,2020-11-10 17:45:00,1.1805,1.18162,1.18012,1.18137,2020-11-10 00:00:00,0.0015,0.002375,0.00475,D,1.18012,S,17,-0.00257,0,0.758112094,0.00257,139056,2,T,0.00239
139056,2020-11-10 18:00:00,1.18136,1.18344,1.18072,1.18248,2020-11-10 00:00:00,0.00272,0.002375,0.00475,U,1.18344,T,18,0.00332,0,1.291828794,0.00332,139063,1,S,0.00332
139063,2020-11-10 19:45:00,1.18099,1.18112,1.18028,1.18099,2020-11-10 00:00:00,0.00084,0.002375,0.00475,D,1.18028,S,19,-0.00316,0,0.951807229,0.00316,139105,7,F,0.00332
139105,2020-11-11 06:15:00,1.18286,1.1833,1.18277,1.1831,2020-11-11 00:00:00,0.00053,0.002335,0.00467,U,1.1833,F,6,0.00302,0,0.955696203,0.00302,139153,42,T,0.0017
139153,2020-11-11 18:15:00,1.17501,1.17565,1.17456,1.17548,2020-11-11 00:00:00,0.00109,0.002335,0.00467,D,1.17456,T,18,-0.00874,1,2.894039735,0.00874,139193,48,S,0.00228
139193,2020-11-12 04:15:00,1.17844,1.17885,1.17827,1.17858,2020-11-12 00:00:00,0.00058,0.00228175,0.00456,U,1.17885,S,4,0.00429,0,0.490846682,0.00429,139214,40,F,0.00125
139214,2020-11-12 09:30:00,1.17631,1.17662,1.17587,1.17641,2020-11-12 00:00:00,0.00075,0.00228175,0.00456,D,1.17587,F,9,-0.00298,0,0.694638695,0.00298,139232,21,T,0.00125
139232,2020-11-12 14:00:00,1.18102,1.18232,1.18102,1.18206,2020-11-12 00:00:00,0.0013,0.00228175,0.00456,U,1.18232,T,14,0.00645,0,2.16442953,0.00645,139240,18,S,0.00255
139240,2020-11-12 16:00:00,1.17984,1.17996,1.179,1.17915,2020-11-12 00:00:00,0.00096,0.00228175,0.00456,D,1.179,S,16,-0.00332,0,0.514728682,0.00332,139244,8,F,0.00162
139244,2020-11-12 17:00:00,1.18096,1.18135,1.1791,1.1793,2020-11-12 00:00:00,0.00225,0.00228175,0.00456,U,1.18135,F,17,0.00235,0,0.707831325,0.00235,139246,4,T,0.00217
139246,2020-11-12 17:30:00,1.17891,1.17969,1.17873,1.17922,2020-11-12 00:00:00,0.00096,0.00228175,0.00456,D,1.17873,T,17,-0.00262,0,1.114893617,0.00262,139325,2,E,0.00257
139325,2020-11-13 13:15:00,1.18308,1.18345,1.18267,1.18278,2020-11-13 00:00:00,0.00078,0.00228225,0.00456,U,1.18345,E,13,0.00472,1,1.801526718,0.00472,139338,79,S,0.00214
139338,2020-11-13 16:30:00,1.18132,1.18247,1.18082,1.18202,2020-11-13 00:00:00,0.00165,0.00228225,0.00456,D,1.18082,S,16,-0.00263,0,0.55720339,0.00263,139414,13,T,0.00144
139414,2020-11-16 11:30:00,1.18602,1.1869,1.18596,1.18658,2020-11-16 00:00:00,0.00094,0.002012,0.00402,U,1.1869,T,11,0.00608,3,2.311787072,0.00608,139427,76,S,0.00182
139427,2020-11-16 14:45:00,1.18386,1.18456,1.18258,1.18295,2020-11-16 00:00:00,0.00198,0.002012,0.00402,D,1.18258,S,14,-0.00432,0,0.710526316,0.00432,139428,13,F,0.00202
